GEO,AGE,SEX,HRPROF,UNIT,Value
Newfoundland and Labrador,65 +,Both,Any Disorder,Number,40815
Newfoundland and Labrador,65 +,Both,Any Disorder,Percent,0.096
Newfoundland and Labrador,65 +,Both,Depression,Number,37978
Newfoundland and Labrador,65 +,Both,Depression,Percent,0.08900000000000001
Newfoundland and Labrador,65 +,Both,Bipolar,Number,9699
Newfoundland and Labrador,65 +,Both,Bipolar,Percent,0.023
Newfoundland and Labrador,65 +,Both,Anxiety,Number,33931
Newfoundland and Labrador,65 +,Both,Anxiety,Percent,0.08
Newfoundland and Labrador,65 +,Both,Any Substance,Number,77099
Newfoundland and Labrador,65 +,Both,Any Substance,Percent,0.183
Newfoundland and Labrador,65 +,Both,Alcohol,Number,68218
Newfoundland and Labrador,65 +,Both,Alcohol,Percent,0.161
Newfoundland and Labrador,65 +,Both,Cannabis,Number,17068
Newfoundland and Labrador,65 +,Both,Cannabis,Percent,0.04
Newfoundland and Labrador,65 +,Both,Other,Number,8530
Newfoundland and Labrador,65 +,Both,Other,Percent,0.02
Newfoundland and Labrador,65 +,Both,Suicidal,Number,38032
Newfoundland and Labrador,65 +,Both,Suicidal,Percent,0.08900000000000001
Newfoundland and Labrador,65 +,Both,Good Mental Health,Number,294706
Newfoundland and Labrador,65 +,Both,Good Mental Health,Percent,0.6890000000000001
Newfoundland and Labrador,65 +,Both,Poor Mental Health,Number,30082
Newfoundland and Labrador,65 +,Both,Poor Mental Health,Percent,0.07
Newfoundland and Labrador,65 +,Both,High Stress,Number,62980
Newfoundland and Labrador,65 +,Both,High Stress,Percent,0.223
Newfoundland and Labrador,65 +,Both,Low Stress,Number,105745
Newfoundland and Labrador,65 +,Both,Low Stress,Percent,0.375
Newfoundland and Labrador,65 +,Both,Needs Met,Number,35604
Newfoundland and Labrador,65 +,Both,Needs Met,Percent,0.083
Newfoundland and Labrador,65 +,Both,Needs not Met,Number,5130
Newfoundland and Labrador,65 +,Both,Needs not Met,Percent,0.012
Newfoundland and Labrador,65 +,Both,Accessed care (past year),Number,35557
Newfoundland and Labrador,65 +,Both,Accessed care (past year),Percent,0.083
Newfoundland and Labrador,65 +,Both,Psychosis,Number,3324
Newfoundland and Labrador,65 +,Both,Psychosis,Percent,0.008
Newfoundland and Labrador,65 +,Both,PTSD,Number,4816
Newfoundland and Labrador,65 +,Both,PTSD,Percent,0.011000000000000001
Newfoundland and Labrador,65 +,Males,Any Disorder,Number,16582
Newfoundland and Labrador,65 +,Males,Any Disorder,Percent,0.08
Newfoundland and Labrador,65 +,Males,Depression,Number,14516
Newfoundland and Labrador,65 +,Males,Depression,Percent,0.07
Newfoundland and Labrador,65 +,Males,Bipolar,Number,NA
Newfoundland and Labrador,65 +,Males,Bipolar,Percent,NA
Newfoundland and Labrador,65 +,Males,Anxiety,Number,14180
Newfoundland and Labrador,65 +,Males,Anxiety,Percent,0.068
Newfoundland and Labrador,65 +,Males,Any Substance,Number,59029
Newfoundland and Labrador,65 +,Males,Any Substance,Percent,0.289
Newfoundland and Labrador,65 +,Males,Alcohol,Number,55592
Newfoundland and Labrador,65 +,Males,Alcohol,Percent,0.26899999999999996
Newfoundland and Labrador,65 +,Males,Cannabis,Number,12286
Newfoundland and Labrador,65 +,Males,Cannabis,Percent,0.06
Newfoundland and Labrador,65 +,Males,Other,Number,5106
Newfoundland and Labrador,65 +,Males,Other,Percent,0.025
Newfoundland and Labrador,65 +,Males,Suicidal,Number,19583
Newfoundland and Labrador,65 +,Males,Suicidal,Percent,0.094
Newfoundland and Labrador,65 +,Males,Good Mental Health,Number,148219
Newfoundland and Labrador,65 +,Males,Good Mental Health,Percent,0.711
Newfoundland and Labrador,65 +,Males,Poor Mental Health,Number,16344
Newfoundland and Labrador,65 +,Males,Poor Mental Health,Percent,0.078
Newfoundland and Labrador,65 +,Males,High Stress,Number,25100
Newfoundland and Labrador,65 +,Males,High Stress,Percent,0.17300000000000001
Newfoundland and Labrador,65 +,Males,Low Stress,Number,62830
Newfoundland and Labrador,65 +,Males,Low Stress,Percent,0.434
Newfoundland and Labrador,65 +,Males,Needs Met,Number,11301
Newfoundland and Labrador,65 +,Males,Needs Met,Percent,0.054000000000000006
Newfoundland and Labrador,65 +,Males,Needs not Met,Number,NA
Newfoundland and Labrador,65 +,Males,Needs not Met,Percent,NA
Newfoundland and Labrador,65 +,Males,Accessed care (past year),Number,13445
Newfoundland and Labrador,65 +,Males,Accessed care (past year),Percent,0.065
Newfoundland and Labrador,65 +,Males,Psychosis,Number,NA
Newfoundland and Labrador,65 +,Males,Psychosis,Percent,NA
Newfoundland and Labrador,65 +,Males,PTSD,Number,NA
Newfoundland and Labrador,65 +,Males,PTSD,Percent,NA
Newfoundland and Labrador,65 +,Females,Any Disorder,Number,24232
Newfoundland and Labrador,65 +,Females,Any Disorder,Percent,0.111
Newfoundland and Labrador,65 +,Females,Depression,Number,23462
Newfoundland and Labrador,65 +,Females,Depression,Percent,0.107
Newfoundland and Labrador,65 +,Females,Bipolar,Number,NA
Newfoundland and Labrador,65 +,Females,Bipolar,Percent,NA
Newfoundland and Labrador,65 +,Females,Anxiety,Number,19752
Newfoundland and Labrador,65 +,Females,Anxiety,Percent,0.091
Newfoundland and Labrador,65 +,Females,Any Substance,Number,18070
Newfoundland and Labrador,65 +,Females,Any Substance,Percent,0.083
Newfoundland and Labrador,65 +,Females,Alcohol,Number,12626
Newfoundland and Labrador,65 +,Females,Alcohol,Percent,0.057999999999999996
Newfoundland and Labrador,65 +,Females,Cannabis,Number,4782
Newfoundland and Labrador,65 +,Females,Cannabis,Percent,0.022000000000000002
Newfoundland and Labrador,65 +,Females,Other,Number,NA
Newfoundland and Labrador,65 +,Females,Other,Percent,NA
Newfoundland and Labrador,65 +,Females,Suicidal,Number,18448
Newfoundland and Labrador,65 +,Females,Suicidal,Percent,0.084
Newfoundland and Labrador,65 +,Females,Good Mental Health,Number,146487
Newfoundland and Labrador,65 +,Females,Good Mental Health,Percent,0.669
Newfoundland and Labrador,65 +,Females,Poor Mental Health,Number,13738
Newfoundland and Labrador,65 +,Females,Poor Mental Health,Percent,0.063
Newfoundland and Labrador,65 +,Females,High Stress,Number,37880
Newfoundland and Labrador,65 +,Females,High Stress,Percent,0.27699999999999997
Newfoundland and Labrador,65 +,Females,Low Stress,Number,42916
Newfoundland and Labrador,65 +,Females,Low Stress,Percent,0.313
Newfoundland and Labrador,65 +,Females,Needs Met,Number,24303
Newfoundland and Labrador,65 +,Females,Needs Met,Percent,0.111
Newfoundland and Labrador,65 +,Females,Needs not Met,Number,3444
Newfoundland and Labrador,65 +,Females,Needs not Met,Percent,0.016
Newfoundland and Labrador,65 +,Females,Accessed care (past year),Number,22111
Newfoundland and Labrador,65 +,Females,Accessed care (past year),Percent,0.10099999999999999
Newfoundland and Labrador,65 +,Females,Psychosis,Number,NA
Newfoundland and Labrador,65 +,Females,Psychosis,Percent,NA
Newfoundland and Labrador,65 +,Females,PTSD,Number,NA
Newfoundland and Labrador,65 +,Females,PTSD,Percent,NA
Newfoundland and Labrador,Total,Both,Any Disorder,Number,7637
Newfoundland and Labrador,Total,Both,Any Disorder,Percent,0.128
Newfoundland and Labrador,Total,Both,Depression,Number,7236
Newfoundland and Labrador,Total,Both,Depression,Percent,0.122
Newfoundland and Labrador,Total,Both,Bipolar,Number,NA
Newfoundland and Labrador,Total,Both,Bipolar,Percent,NA
Newfoundland and Labrador,Total,Both,Anxiety,Number,4388
Newfoundland and Labrador,Total,Both,Anxiety,Percent,0.07400000000000001
Newfoundland and Labrador,Total,Both,Any Substance,Number,12531
Newfoundland and Labrador,Total,Both,Any Substance,Percent,0.212
Newfoundland and Labrador,Total,Both,Alcohol,Number,9891
